"PC1","PC2"
"1",0.39,0.73
"2",0.35,-0.11
"3",-1.73,1.49
"4",-0.61,-0.15
"5",0.37,1.35
"6",0.16,1.05
"7",-1.69,-0.03
"8",0.23,1.83
"9",0.09,1.75
"10",-0.37,2.16
"11",-0.78,2.59
"13",0.56,1.32
"14",-0.3,0.54
"15",0.88,0.12
"16",1.04,1.45
"17",-0.04,0.65
"18",0.14,1.36
"19",0.09,1.13
"20",0.04,0.58
"21",-0.8,0.04
"22",-1.27,1.83
"23",-1.16,1.45
"24",-0.04,1.38
"25",-1.13,-0.27
"26",-0.42,1.2
"27",-0.16,1.16
"28",-0.37,-0.16
"29",-0.89,0.35
"30",0.22,-0.2
"31",-0.21,0.58
"32",-0.04,-0.01
"33",0.35,0.2
"34",-0.46,-0.01
"35",-0.12,1.14
"36",-2.65,0.93
"39",0.6,3.83
"41",0.54,0.89
"42",-0.86,-0.06
"43",-0.08,0.34
"44",-1.3,0.77
"45",-2.5,-0.46
"46",-0.05,0.5
"47",0.45,0.92
"48",0.86,0.2
"49",0.3,0.3
"50",-2.24,0.23
"51",-0.38,0.38
"52",-2.13,0.17
"53",0.13,1.04
"54",-3.39,-0.53
"55",-0.22,1.12
"56",-1.08,-0.29
"57",0.92,1.25
"58",0.79,0.39
"59",-0.06,0.25
"60",-1.03,0.28
"61",0.1,0.19
"62",0.64,1.01
"63",-1.19,1.06
"64",-1.59,-1.16
"65",-0.52,0.21
"66",0.38,0.45
"67",-2.41,-0.67
"68",-1.54,-0.33
"69",-1.16,0.21
"70",-1.64,-0.45
"82",0.37,-0.87
"83",1.18,-0.55
"84",-0.93,-0.34
"85",0,-0.8
"86",0.87,-0.76
"87",-0.46,-0.52
"88",0.08,-0.56
"89",0.8,0.51
"90",1.48,2.33
"91",0.91,-1.19
"92",1.44,2.3
"93",0.92,0.98
"94",1.15,0.49
"95",0.13,-0.12
"96",1.42,-1.51
"97",1.72,-0.44
"98",0.25,-1.66
"99",0.74,0.08
"102",0.32,-0.46
"103",-0.46,-0.12
"104",0.13,-0.25
"105",1.03,-0.16
"106",-0.19,-0.53
"107",1.2,-0.26
"108",0.98,-0.94
"109",0.79,-0.59
"110",0.56,-0.37
"111",1.15,-0.58
"114",1.15,-1.31
"115",0.71,-1.05
"116",0.17,-0.79
"117",-1.03,-0.56
"118",-1.06,-1.85
"119",1.73,0.67
"120",-0.51,-1.24
"121",0.54,-1.27
"122",1.13,-1.4
"123",0.11,-1.54
"124",0.75,-0.81
"125",0.04,-0.74
"126",-0.72,-1.18
"127",1.26,-0.92
"128",1.48,-1.11
"129",1.75,-0.44
"130",1.62,-0.83
"131",-0.48,-1.08
"132",0.52,-1.28
"133",-1.59,-0.4
"134",-0.24,-0.97
"135",-1.15,-0.19
"136",0.73,0.26
"137",-0.44,-1.46
"139",0.51,-0.24
"140",0.63,-0.87
"141",0.51,-0.24
"142",1.08,-0.45
"143",1.94,0.11
"144",0.13,-0.76
"145",-0.21,-1.64
"146",0.24,-1.11
"147",1.55,-0.07
"148",-1.07,-0.86
"149",0.31,-1.07
"150",0.72,0.01
"151",-0.36,-0.54
"152",-0.98,-1.13
"153",-0.01,-1.17
"154",-0.6,0.4
"155",1.67,0.67
"156",-0.57,-1.52
"157",0.28,-0.63
"158",0.34,-1.16
"159",-0.19,-0.83
